State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,tsavg,rain,soil
Karnataka,BAGALKOT,1998,Kharif     ,Arhar/Tur,6154,2602,27.79,543.16,7.5
Karnataka,BAGALKOT,1998,Kharif     ,Bajra,48855,52375,27.79,543.16,7.5
Karnataka,BAGALKOT,1998,Kharif     ,Castor seed,71,61,27.79,543.16,7.5
Karnataka,BAGALKOT,1998,Kharif     ,Cotton(lint),15225,22129,27.79,543.16,7.5
Karnataka,BAGALKOT,1998,Kharif     ,Groundnut,16368,7734,27.79,543.16,7.5
Karnataka,BAGALKOT,1998,Kharif     ,Horse-gram,3372,1156,27.79,543.16,7.5
Karnataka,BAGALKOT,1998,Kharif     ,Jowar,12363,24855,27.79,543.16,7.5
Karnataka,BAGALKOT,1998,Kharif     ,Maize,30630,92831,27.79,543.16,7.5
Karnataka,BAGALKOT,1998,Kharif     ,Moong(Green Gram),13872,1147,27.79,543.16,7.5
Karnataka,BAGALKOT,1998,Kharif     ,Niger seed,310,47,27.79,543.16,7.5
Karnataka,BAGALKOT,1998,Kharif     ,Onion,3090,14100,27.79,543.16,7.5
Karnataka,BAGALKOT,1998,Kharif     ,Rapeseed &Mustard,51,7,27.79,543.16,7.5
Karnataka,BAGALKOT,1998,Kharif     ,Rice,197,316,27.79,543.16,7.5
Karnataka,BAGALKOT,1998,Kharif     ,Sesamum,2395,937,27.79,543.16,7.5
Karnataka,BAGALKOT,1998,Kharif     ,Soyabean,5221,3854,27.79,543.16,7.5
Karnataka,BAGALKOT,1998,Kharif     ,Sunflower,36785,13374,27.79,543.16,7.5
Karnataka,BAGALKOT,1998,Rabi       ,Gram,17835,15170,27.79,543.16,7.5
Karnataka,BAGALKOT,1998,Rabi       ,Groundnut,15849,24166,27.79,543.16,7.5
Karnataka,BAGALKOT,1998,Rabi       ,Horse-gram,2098,608,27.79,543.16,7.5
Karnataka,BAGALKOT,1998,Rabi       ,Jowar,152540,120840,27.79,543.16,7.5
